user_id;sex;age;university;graduation_year
177;Жен;26;РЭУ им. Г. В. Плеханова;2013
178;Муж;44;ВГПУ;1996
179;Муж;38;СибГТУ;2005
180;Жен;46;МГСУ НИУ;1994
182;Муж;30;ВЮИ ФСИН РФ;2010
184;Муж;26;МГТУ им. Н.Э. Баумана;2014
185;Жен;43;ВолГУ;2002
187;Муж;31;СПбГАСУ;2009
188;Жен;38;МГОУ;2008
189;Муж;30;ВятГГУ;2010
190;Муж;32;БГАРФ;2006
192;Муж;54;РЭА им. Г. В. Плеханова;N/A
195;Жен;43;СибГИУ;2006
196;Муж;31;КГТУ-КАИ им. Туполева;N/A
197;Муж;32;СГСЭУ;2006
199;Жен;44;РосЗИТЛП;1997
201;Муж;43;МГУЛ;N/A
202;Жен;44;КГМУ;1993
203;Муж;35;ИМПЭ им. Грибоедова;2004
205;Муж;25;МГТУ им. Н. Э. Баумана;2015
206;Муж;33;МГОУ;2006
207;Муж;36;КГМУ;2004
208;Муж;26;МГСУ НИУ;2012
209;Муж;37;РГУПС;2004
210;Жен;48;ПИ СФУ;1994
211;Жен;27;СмолГУ;2012
212;Муж;32;МГИУ;N/A
214;Жен;31;ЮЗГУ;2008
215;Муж;25;ЮУрГУ;2015
216;Муж;31;ЮУрГУ;2008
217;Муж;24;ЮЗГУ;2015
219;Жен;28;ПГНИУ;2010
220;Жен;29;МЭСИ;N/A
222;Муж;51;ПНИПУ;1989
223;Жен;37;МФПА;2011
224;Жен;57;АГТУ;N/A
225;Жен;40;МаГУ;1999
226;Муж;33;ННГАСУ;2007
229;Муж;30;УрФУ;2011
230;Жен;34;ЧГПУ;2005
231;Жен;31;УралГУФК;2008
232;Муж;31;ЧГПУ;2008
233;Муж;24;УдГУ;N/A
234;Муж;21;ДВФУ;N/A
236;Муж;34;РГППУ;2004
237;Жен;32;ДВФУ;2006
238;Муж;33;КемТИПП;N/A
239;Муж;34;КГУ им. Некрасова;N/A
240;Муж;34;СГА;N/A
241;Муж;35;ИГАСУ;2003
242;Жен;29;АГУ;2012
244;Муж;37;МГИУ;N/A
245;Жен;36;НИ МГУ им. Огарева;N/A
246;Муж;39;ВВВУТ;2000
248;Муж;35;НовГУ;2003
249;Жен;33;ТюмГУ;2005
250;Муж;27;МТУСИ;2011
252;Муж;30;МГТУ;2011
253;Муж;30;МФЮА;2008
254;Муж;33;МИРЭА;2006
255;Жен;46;МГУ;1992
256;Муж;31;СПбГУ;2007
257;Муж;58;МАИ;1987
258;Муж;21;МИИТ;N/A
260;Муж;36;МГТУ им. Н. Э. Баумана;2004
262;Муж;42;ЮЗГУ;2005
263;Муж;28;НГСХА;2011
264;Муж;59;РГУНГ им. Губкина;1977
265;Жен;52;УРАО;2000
267;Жен;39;УГТУ-УПИ им. Б. Н. Ельцина;2002
271;Муж;31;РГТЭУ;2009
274;Муж;31;ОГАУ;2007
276;Муж;42;ННГУ им. Лобачевского;1996
279;Муж;46;МИЭТ;1994
280;Муж;35;ХГАЭиП;N/A
281;Жен;41;МГАКХиС;1998
282;Жен;37;РГГУ;2003
284;Муж;41;НГТУ им. Алексеева;1999
287;Муж;33;ННГУ им. Лобачевского;2005
289;Муж;27;НИ;2011
291;Муж;28;МГПУ;2010
293;Муж;36;БГТУ им. В. Г. Шухова;N/A
296;Жен;56;ВлГУ им. А.Г. и Н.Г. Столетовых;2010
297;Муж;26;РГАТУ;N/A
299;Муж;40;КГСХА;N/A
300;Муж;28;СПбГУТ им. Бонч-Бруевича;2010
301;Муж;46;СПбГЭТУ;1993
302;Жен;60;СПбГПУ Политех;1979
303;Муж;31;ННГУ им. Лобачевского;N/A
305;Жен;56;ДВГУПС;2002
306;Муж;28;ПсковГУ;2011
307;Муж;29;СГА;2010
310;Муж;53;ИГХТУ;1987
312;Муж;39;ВлГУ;2007
313;Муж;34;СПбГУКИ;2007
314;Муж;52;РГРТУ;1988
315;Муж;44;МГТУ им. Н. Э. Баумана;N/A
316;Муж;48;ИГХТУ;1993
317;Муж;25;ПГУПС;2014
318;Жен;38;МЭСИ;2003
319;Муж;48;СПбГУП;1997
321;Жен;30;ДВГУ;2009
322;Муж;41;СПбГЭУ;N/A
323;Жен;30;РГГУ;N/A
324;Муж;31;АГТУ;2005
326;Муж;32;СПбГУ;2006
327;Муж;44;НГСХА;1994
328;Жен;26;УрГУПС;2012
329;Муж;33;УрФУ;2007
330;Жен;49;УГТУ;1990
331;Муж;47;ИжГТУ;1994
332;Муж;31;РГУНГ им. Губкина;2008
333;Муж;42;ВятГУ;2001
335;Муж;37;УГЛТУ;2003
336;Муж;27;ОГАУ;2011
338;Жен;35;ТГСХА;N/A
340;Жен;38;МГЭИ;2003
341;Жен;42;ЧГПУ;2003
342;Жен;39;УрГЭУ;1998
345;Муж;34;ТГУ;2005
346;Муж;34;АлтГТУ им. Ползунова;2007
347;Муж;36;НГАУ;N/A
348;Муж;20;КрасГАУ;2006
350;Муж;37;ОмГТУ;N/A
353;Муж;32;УГТУ;2006
357;Муж;37;НГПУ;N/A
358;Муж;38;СибГИУ;N/A
360;Муж;42;МФЮА;N/A
361;Муж;27;ДВФУ;2011
362;Муж;49;НГТУ;1998
363;Муж;57;СВФУ им. М. К. Аммосова;1983
364;Муж;50;ДВГУПС;1988
365;Муж;35;ДВГТУ;2003
366;Муж;29;СВФУ им. М. К. Аммосова;2009
367;Муж;59;КГЭУ;1984
369;Муж;32;АмГУ;2007
370;Жен;25;МИТХТ;2014
371;Муж;45;ДВГУПС;2008
372;Муж;43;НГТУ;N/A
373;Жен;34;НГТУ;2008
374;Муж;39;КрасГАУ;N/A
375;Муж;45;СибГТУ;1994
377;Муж;38;ИрГТУ;2012
378;Муж;54;НГТУ;1985
379;Муж;55;СибАДИ;N/A
382;Муж;24;ИрГТУ;2014
383;Муж;40;ДВГТУ;N/A
384;Жен;35;ТГУ им. Державина;2003
386;Муж;43;МГУС / РГУТиС;2003
387;Муж;26;РосНОУ;N/A
391;Муж;29;ГУЗ;2009
395;Муж;35;МГЮА;2003
396;Муж;42;ТюмГНГУ;2001
397;Муж;34;РГСУ;2005
400;Жен;30;ВГУЭС;2008
401;Муж;33;МГИУ;2011
402;Муж;49;ТГУ им. Державина;N/A
406;Муж;34;РГАУ-МСХА им. Тимирязева;2004
408;Муж;29;МГЛУ;2010
409;Муж;48;МИЭТ;1990
410;Муж;52;ВИТУ;N/A
411;Жен;43;РГСУ;N/A
413;Муж;55;МИИТ;2004
414;Муж;37;СГА;N/A
417;Муж;49;БГТУ;1992
418;Муж;30;ВГТУ;2008
419;Муж;45;ННГУ им. Лобачевского;1998
420;Муж;27;МГУТУ им. К.Г. Разумовского;N/A
421;Муж;32;РГАТА;2007
424;Муж;26;МГУПИ;2014
426;Муж;26;МГУ;2012
429;Муж;57;МГУКИ;1981
432;Муж;49;РЭУ им. Г. В. Плеханова;1992
434;Муж;51;МИИТ;1987
435;Муж;23;МИГУП;2008
436;Муж;40;НИЯУ МИФИ;1999
437;Муж;25;Университет машиностроения;2012
439;Муж;47;МГУ;2003
440;Жен;50;МПГУ;N/A
441;Муж;43;ЧГУ;1996
442;Муж;36;РЭУ им. Г. В. Плеханова;N/A
444;Муж;37;МАИ;2000
445;Муж;31;РГУНГ им. Губкина;2007
446;Муж;42;РосНОУ;N/A
447;Муж;46;НИЯУ МИФИ;1993
448;Муж;38;МГЛУ;2000
451;Муж;38;МГУ;2000
452;Муж;44;Дальрыбвтуз;N/A
453;Муж;35;ВМИРЭ;N/A
455;Жен;36;МГОУ;2002
456;Жен;35;УРАО;2003
458;Жен;37;МГУ;2006
461;Муж;41;ТГСХА;1999
462;Жен;25;РГУ им. Есенина;2013
463;Жен;57;РГАЗУ;1983
465;Муж;41;МГУ;1997
468;Жен;43;КФУ;N/A
469;Жен;46;МГТУ им. Н. Э. Баумана;2008
470;Муж;34;РУК;2003
471;Жен;36;МАЭП;2001
472;Муж;27;МГОУ им. Черномырдина;2014
473;Муж;29;ТГУ;2009
474;Муж;39;МГУТУ;2015
475;Муж;36;МТУСИ;2004
476;Жен;40;КНИТУ;1999
477;Муж;42;МГЭИ;1998
478;Муж;34;МГТУ Станкин;2006
480;Муж;31;МФЮА;2012
481;Муж;36;МЭСИ;2003
485;Жен;44;МГУПП;1994
486;Муж;34;МГСУ-МИСИ;N/A
490;Муж;39;МАБиУ;2004
491;Муж;33;УГНТУ;2005
492;Муж;25;СПбГЭУ;N/A
493;Муж;52;МарГТУ;1986
494;Муж;34;КГТУ-КАИ им. Туполева;2005
495;Муж;31;МГИУ;2010
497;Муж;27;МГУ;2011
499;Муж;43;МИРЭА;2000
500;Муж;37;МГТУ Станкин;2000
504;Муж;41;РГСУ;1997
505;Муж;36;МосГУ;2003
506;Жен;32;СГАУ;2007
507;Муж;38;СГАУ им. Королева;2001
509;Муж;22;ОГУ;2015
510;Жен;56;НИУ МЭИ;1984
511;Жен;37;РАНХиГС;N/A
513;Муж;32;КубГТУ;N/A
515;Муж;27;РГСУ;2011
517;Жен;53;КубГТУ;N/A
518;Муж;31;КФУ;2009
519;Муж;37;СамГТУ;2007
520;Жен;28;КубГТУ;2014
521;Муж;38;КубГТУ;N/A
523;Жен;33;СГУТиКД;N/A
524;Муж;46;КубГАУ;N/A
525;Жен;35;РГЭУ РИНХ;2003
526;Муж;33;ЮРГТУ;2006
527;Жен;37;ЧГПУ;2002
528;Жен;30;ЕГУ им. Бунина;2008
529;Муж;31;КубГТУ;2007
530;Муж;38;ВГАВТ;1999
531;Муж;31;ЮРГТУ;2007
532;Муж;39;СГА;N/A
534;Жен;41;СПбГУ;N/A
535;Жен;38;УрФУ;N/A
536;Муж;30;МГАФК;2009
537;Муж;35;РУДН;2012
538;Жен;59;КубГУ;2005
539;Муж;51;СГУ;2007
540;Муж;43;РГУПС;N/A
541;Жен;42;ЧелГУ;1996
542;Муж;31;БГТУ им. Шухова;2007
543;Муж;38;МГУПИ;N/A
546;Жен;25;ТюмГУ;2014
547;Муж;40;ВолГУ;2009
549;Муж;26;МаГУ;N/A
550;Муж;37;ГГАУ;2002
551;Муж;33;КГУ;2005
552;Жен;37;УГАТУ;2005
553;Жен;37;СПбГЭУ;N/A
556;Муж;46;МГУПС-МИИТ;1992
558;Муж;28;ЯГПУ им. Ушинского;2010
559;Муж;33;КГТУ;2005
560;Муж;42;ОГУ;1996
561;Муж;41;ВГЛТА;N/A
562;Муж;29;НГТУ им. Алексеева;2013
563;Муж;29;ТвГУ;N/A
564;Муж;31;БГТУ им. В. Г. Шухова;N/A
565;Муж;26;ИГЭУ им. Ленина;2012
567;Жен;39;ВГУ;2000
568;Муж;39;ИГХТУ;1999
569;Муж;34;МНЮИ;N/A
570;Муж;27;ИжГТУ;N/A
571;Муж;45;МФЮА;2005
572;Муж;36;НГЛУ им. Добролюбова;2002
573;Муж;39;ТюмГУ;2000
574;Муж;36;ННГУ им. Лобачевского;2002
577;Муж;26;ГУУ;N/A
578;Муж;40;СГА;2007
579;Муж;24;ИГЭУ им. Ленина;2014
581;Муж;49;МЭИ;1992
582;Жен;39;ОГУ;2003
583;Муж;29;БГТУ им. Шухова;2009
584;Муж;41;ЮЗГУ;1997
585;Муж;30;ИГСХА;2008
586;Муж;31;ИГТА;2008
587;Муж;31;БУПК;2008
588;Муж;37;ИГАСУ;N/A
589;Муж;49;МГТУ им. Н. Э. Баумана;1992
590;Муж;36;ВлГУ им. А.Г. и Н.Г. Столетовых;2005
591;Муж;30;БГУ им. Петровского;2008
593;Муж;41;СПбГЭТУ;1998
594;Муж;34;ТвГУ;2004
596;Жен;28;МПСИ;2011
597;Муж;36;РГРТУ;2003
598;Муж;25;СПбГЭТУ;N/A
599;Муж;29;МГУ;2011
600;Муж;24;СГА;2010
601;Муж;37;НИ;2002
602;Муж;28;ВЭПИ;2010
603;Муж;34;ТулГУ;2008
604;Жен;33;КГМУ;2005
608;Муж;34;СПбГПУ Политех;2005
609;Муж;34;СПбГПУ Политех;2004
610;Муж;34;ВКА им. Можайского;2005
611;Муж;22;СПбГМТУ;2015
612;Муж;23;СПбГПУ Политех;N/A
613;Жен;55;РГПУ им. Герцена;1987
614;Жен;35;СПбГУ ИТМО;2007
616;Муж;59;БГТУ;1983
619;Жен;47;УрФУ;1992
621;Муж;35;ЧГУ им. Ульянова;2005
623;Муж;46;ВКА им. Можайского;1992
624;Муж;24;СПбГАСУ;2014
625;Муж;52;ГГНТУ;1985
626;Муж;56;УрГПУ;1982
627;Муж;50;СПбГПУ Политех;1989
628;Жен;33;УрГУПС;2007
630;Муж;24;КГУ;2015
631;Жен;50;ЮУрГУ;1988
632;Муж;41;ВятГУ;1997
635;Муж;44;ОГАУ;2000
636;Жен;33;ПГУАС;2005
637;Муж;39;МГОУ;2009
640;Жен;29;ДВГУ;2014
641;Муж;41;ПИ СФУ;2012
642;Муж;38;ТюмГНГУ;N/A
643;Муж;35;ТПУ;2003
644;Муж;29;КГПУ им. В.П. Астафьева;2009
645;Муж;41;КрасГАУ;2005
646;Муж;49;СибГИУ;1991
647;Муж;27;СибГУТИ;N/A
649;Муж;24;СибГУТИ;2015
650;Муж;36;СГА;N/A
651;Жен;26;ОмГТУ;2013
654;Муж;32;ДВГУ;2014
655;Муж;51;МГУ им. адмирала Невельского;2012
656;Жен;35;БГСХА;N/A
657;Муж;24;ТоГУ;2015
658;Муж;34;СахГУ;2004
659;Муж;37;ТоГУ;2012
660;Муж;50;МГУ им. адмирала Невельского;N/A
661;Муж;33;ТоГУ;2005
663;Жен;39;ТГУ;2000
664;Муж;42;МГАВТ;N/A
665;Муж;47;АТиСО;1997
666;Муж;33;МГУС / РГУТиС;2005
668;Муж;39;МГУС / РГУТиС;2009
670;Муж;39;МГУПИ;2001
672;Жен;37;ТУСУР;2013
674;Муж;60;СПбГТИ;1980
675;Жен;26;НИБ;2013
676;Жен;58;МГУ;1981
677;Муж;32;МЭИ;2009
679;Муж;35;РГГРУ;N/A
680;Муж;35;МГУ;2006
681;Муж;32;РГТЭУ;2004
683;Муж;40;МГТУ им. Н.Э. Баумана;2000
684;Муж;34;МГУПИ;N/A
686;Муж;23;МГИУ;2015
687;Муж;37;МГТУ Станкин;2000
690;Жен;37;РГГУ;N/A
691;Муж;43;МГУПИ;1996
693;Жен;25;Финансовый университет;2013
695;Жен;34;РГГУ;2004
696;Муж;36;МИИГАиК;2002
698;Муж;36;МГСУ НИУ;2002
699;Муж;39;РГСУ;2008
700;Муж;46;МПГУ;N/A
701;Муж;43;РосНОУ;2007
702;Муж;30;МПСИ;2008
703;Муж;32;"МГТУ ""МАМИ""";2006
704;Муж;54;МГЮА им. О. Е. Кутафина;N/A
705;Жен;40;МГУ;N/A
707;Муж;42;МПСИ;2011
709;Муж;39;МГУ;1999
711;Муж;35;ПИ;2003
712;Муж;38;МГУПБ;N/A
713;Жен;29;РУК;N/A
714;Муж;32;МГАУ им. Горячкина;2011
715;Муж;35;МЭИ;N/A
716;Муж;38;"МГТУ ""МАМИ""";2001
717;Жен;39;МГУ;2000
718;Муж;41;МГЮА им. О. Е. Кутафина;2002
719;Муж;31;МГУПС-МИИТ;2007
721;Жен;29;ОмГПУ;N/A
723;Жен;46;МПГУ;2002
724;Муж;30;РГСУ;2008
729;Муж;45;АГПС;1994
730;Муж;45;МИРЭА;1994
731;Жен;46;РУК;2001
732;Жен;36;МГУ;2002
733;Жен;37;МГЮА;2000
734;Муж;32;РГСУ;N/A
735;Жен;32;МГУ;2009
736;Муж;34;"МГТУ ""МАМИ""";2009
737;Жен;30;РГГУ;2008
738;Муж;33;МАДИ;2005
739;Жен;33;МГУДТ;2006
741;Муж;31;МАТИ;2008
742;Муж;60;МАИ;1987
744;Муж;37;МГСУ-МИСИ;N/A
746;Муж;37;РГСУ;2001
747;Жен;57;МГГУ;1977
748;Муж;32;ЭПИ;2009
750;Муж;49;МИФИ;1992
751;Муж;31;НИУ ВШЭ;N/A
752;Муж;29;МИЭМП;N/A
753;Муж;46;МЭИ;1993
754;Муж;31;"МГТУ ""МАМИ""";N/A
755;Муж;25;Финансовый университет;N/A
757;Муж;53;МЭИ;1986
758;Муж;45;СибГАУ им. Решетнева;1995
759;Жен;32;МГУПИ;2006
760;Муж;29;ТГУ;2009
762;Муж;28;МГГУ;2010
763;Муж;35;МИИТ;2005
764;Муж;27;МГУЛ;2011
765;Муж;34;МФЮА;2007
767;Муж;25;МГУТУ;N/A
768;Муж;39;СтГАУ;2000
770;Муж;35;МГАФК;N/A
771;Муж;31;ИМПЭ им. Грибоедова;2008
772;Муж;35;МАИ;2004
773;Муж;38;МГСУ НИУ;N/A
774;Муж;29;МЭСИ;2009
776;Муж;51;УГНТУ;1988
777;Жен;28;МЭСИ;2011
778;Муж;36;МИГУП;2014
779;Жен;33;СГТУ им. Ю.А. Гагарина;2005
780;Муж;27;СГТУ;N/A
782;Муж;45;СПбГЭУ;1995
783;Муж;33;СГУ им. Чернышевского;2006
785;Жен;30;КФУ;2011
786;Жен;32;ВолГУ;2008
790;Муж;33;БИТИ НИЯУ МИФИ;N/A
792;Муж;33;НИ МГУ им. Огарева;2005
794;Муж;35;ПГУ;2003
795;Жен;53;СГЭУ;1984
800;Муж;27;ПГТА;N/A
803;Жен;38;ПГСХА;N/A
804;Муж;36;ВолГАУ;2004
805;Жен;31;СамГТУ;N/A
807;Жен;37;МЭСИ;2009
808;Муж;27;ВолГАУ;N/A
810;Жен;30;КФУ;2010
813;Муж;25;ТГУ;2015
817;Муж;27;ЮФУ;2013
818;Муж;32;КубГАУ;N/A
819;Муж;32;СКГМИ;2011
820;Муж;24;СГА;2015
821;Муж;38;ЧГУ им. Ульянова;2007
823;Муж;25;РГСУ;2013
824;Муж;46;ЧГУ;1999
825;Жен;55;СамГТУ;2000
826;Муж;27;ДГПУ;N/A
827;Муж;28;КубГУ;2012
829;Жен;38;НГМА;1995
830;Муж;26;РЭУ им. Г. В. Плеханова;N/A
831;Муж;41;ЧГУ;2004
833;Жен;44;МГУТУ;N/A
835;Муж;45;РГУПС;1995
836;Муж;34;ГУУ;2004
838;Жен;32;СевКавГТУ;2006
839;Муж;35;ПГТУ;2003
840;Муж;42;ЮФУ;2001
843;Муж;30;РГАЗУ;2011
844;Муж;40;СГА;N/A
845;Муж;24;РУДН;2015
846;Жен;28;РГСУ;2011
847;Жен;47;РГСУ;2000
848;Муж;28;СКГМИ;2009
849;Муж;33;ДГПУ;N/A
853;Муж;37;ГГНТУ;N/A
854;Муж;34;МГИМО;2012
855;Муж;35;КФУ;2004
856;Муж;27;ЧГУ;2013
857;Жен;32;ЧГУ;2008
859;Муж;27;ДГУ;2013
860;Жен;30;ЮФУ;2008
861;Жен;39;СОГУ им. Хетагурова;2001
862;Муж;30;ТюмГНГУ;2014
866;Муж;37;РГСУ;N/A
867;Муж;45;ГГНТУ;N/A
868;Муж;25;ЧГУ;2013
870;Муж;37;МГСУ-МИСИ;2002
872;Муж;37;ЧГУ;2008
873;Муж;21;АлтГТУ им. Ползунова;N/A
874;Муж;27;РГСУ;2011
875;Муж;38;ВлГУ им. А.Г. и Н.Г. Столетовых;2000
876;Муж;32;ТТИ ЮФУ;2008
878;Муж;28;СГЭУ;2012
883;Муж;47;ЧГУ им. Ульянова;1994
884;Муж;25;УГАТУ;2014
885;Муж;41;ЧГУ;1996
886;Жен;27;ВЗФЭИ;N/A
887;Муж;39;ПГУ;2007
890;Муж;25;ИрГТУ;2014
891;Муж;25;КузГТУ;2013
895;Муж;38;ТюмГАСУ;2002
897;Муж;26;КГТУ;2013
898;Жен;40;ВолгГАСУ;2011
899;Жен;39;БГТУ им. Шухова;2003
902;Муж;48;КузГПА;1992
903;Муж;25;БелГУ;2014
905;Жен;49;ВГУ;1991
907;Муж;31;СГУ им. Чернышевского;2007
908;Муж;37;РУДН;2003
910;Муж;28;КузГТУ;N/A
911;Муж;25;СибГИУ;2013
912;Муж;27;НовГУ;2011
913;Муж;36;СибГИУ;2011
914;Муж;40;МГТУ им. Носова;2000
915;Жен;30;СЗТУ;N/A
917;Жен;40;ВГУ;N/A
918;Муж;34;ПГСХА;2004
920;Муж;27;СПбГУ;N/A
921;Муж;46;УРАО;2008
923;Муж;27;НГПУ им. Козьмы Минина;2011
924;Муж;24;КубГУ;2014
925;Муж;23;НИ МГУ им. Огарева;2015
927;Муж;34;ЮЗГУ;N/A
929;Жен;25;ННГАСУ;2009
930;Муж;30;НГТУ им. Алексеева;2009
931;Муж;34;БГАРФ;2000
932;Жен;27;РГСУ;N/A
933;Муж;27;СПбГУКиТ;2012
934;Жен;50;РГГУ;2002
937;Муж;28;ВГСХА;2011
938;Муж;27;ВГУ;2013
939;Жен;54;ТПУ;N/A
941;Муж;31;ТюмГНГУ;2008
943;Муж;53;ВГУ;1985
944;Муж;37;ТГУ им. Державина;N/A
945;Муж;24;ВятГУ;2015
950;Муж;26;ННГУ им. Лобачевского;2012
952;Муж;39;УГТУ-УПИ;2007
954;Жен;45;КГУ им. Некрасова;1992
955;Муж;26;РГРТУ;2012
956;Муж;28;СГА;2009
958;Жен;28;РУК;2012
960;Муж;27;ВятГГУ;2013
961;Муж;33;МГЭИ;N/A
962;Муж;38;КГСХА;2000
965;Муж;38;СибГТУ;2000
966;Муж;33;БУПК;2005
967;Жен;34;ПГПУ им. Белинского;2004
968;Муж;30;ТТИ ЮФУ;2008
969;Муж;37;ЮРГТУ;2000
973;Муж;25;ТУСУР;2014
974;Муж;29;ИГХТУ;2009
975;Муж;31;КубГУ;2007
976;Муж;20;ВолгГТУ;N/A
977;Муж;31;ДГУ;2007
978;Муж;28;ВПИ;N/A
980;Муж;26;ВолгГТУ;2013
982;Муж;25;АлтГТУ им. Ползунова;N/A
984;Муж;38;ПГУАС;2003
985;Жен;25;МГОУ;N/A
986;Муж;59;РГРТУ;1979
989;Муж;26;КубГАУ;2015
990;Муж;31;НГТУ им. Алексеева;N/A
991;Жен;30;МГПУ;2013
992;Муж;42;ЧелГУ;2012
995;Муж;45;СГАУ им. Королева;N/A
998;Муж;30;МЭСИ;2009
999;Жен;40;ИГХТУ;N/A
1003;Муж;45;РГСУ;2010
1004;Муж;23;УрФУ;N/A
1005;Жен;23;Дальрыбвтуз;2015
1006;Жен;38;ВЭГУ;N/A
1007;Муж;32;РГРТУ;N/A
1009;Жен;31;МГУ;2007
1010;Муж;25;МГИМО;2014
1011;Жен;25;КубГТУ;2014
1012;Муж;48;СевНТУ;1990
1013;Муж;33;РГУФКСМиТ;2008
1014;Муж;57;СГСХА;1985
1016;Муж;40;ЮУрГУ;2001
1017;Муж;23;СПбГУ;2008
1019;Муж;34;СевКавГТУ;2004
1020;Муж;26;ТюмГНГУ;2012
1021;Жен;35;РУК;2003
1023;Муж;26;СевНТУ;N/A
1024;Муж;29;ВГТУ;2010
1025;Муж;30;ТГУ им. Державина;2008
1026;Муж;24;СПбГЭУ;2015
1027;Муж;38;МАЭП;N/A
1028;Муж;38;МГГУ;2011
1029;Муж;44;МГТУ им. Н.Э. Баумана;1996
